,0
0,id
1,doi
2,title
3,display_name
4,publication_year
5,publication_date
6,ids
7,language
8,primary_location
9,type
10,type_crossref
11,indexed_in
12,open_access
13,authorships
14,institution_assertions
15,countries_distinct_count
16,institutions_distinct_count
17,corresponding_author_ids
18,corresponding_institution_ids
19,apc_list
20,apc_paid
21,fwci
22,has_fulltext
23,cited_by_count
24,citation_normalized_percentile
25,cited_by_percentile_year
26,biblio
27,is_retracted
28,is_paratext
29,primary_topic
30,topics
31,keywords
32,concepts
33,mesh
34,locations_count
35,locations
36,best_oa_location
37,sustainable_development_goals
38,grants
39,datasets
40,versions
41,referenced_works_count
42,referenced_works
43,related_works
44,abstract_inverted_index
45,cited_by_api_url
46,counts_by_year
47,updated_date
48,created_date
